sport_key,alias,canonical_name,source_bookmaker,abbreviation,team_id,notes
americanfootball_nfl,Green Bay Packers,Green Bay Packers,splash,GB,,
americanfootball_nfl,Houston Texans,Houston Texans,splash,HOU,,
americanfootball_nfl,Indianapolis Colts,Indianapolis Colts,splash,IND,,
americanfootball_nfl,Jacksonville Jaguars,Jacksonville Jaguars,splash,JAX,,
americanfootball_nfl,Kansas City Chiefs,Kansas City Chiefs,splash,KC,,
americanfootball_nfl,Las Vegas Raiders,Las Vegas Raiders,splash,LV,,
americanfootball_nfl,Los Angeles Chargers,Los Angeles Chargers,splash,LAC,,
americanfootball_nfl,Los Angeles Rams,Los Angeles Rams,splash,LAR,,
americanfootball_nfl,Miami Dolphins,Miami Dolphins,splash,MIA,,
americanfootball_nfl,Minnesota Vikings,Minnesota Vikings,splash,MIN,,
americanfootball_nfl,New England Patriots,New England Patriots,splash,NE,,
americanfootball_nfl,New Orleans Saints,New Orleans Saints,splash,NO,,
americanfootball_nfl,New York Giants,New York Giants,splash,NYG,,
americanfootball_nfl,New York Jets,New York Jets,splash,NYJ,,
americanfootball_nfl,Philadelphia Eagles,Philadelphia Eagles,splash,PHI,,
americanfootball_nfl,Pittsburgh Steelers,Pittsburgh Steelers,splash,PIT,,
americanfootball_nfl,Seattle Seahawks,Seattle Seahawks,splash,SEA,,
americanfootball_nfl,San Francisco 49ers,San Francisco 49ers,splash,SF,,
americanfootball_nfl,Tampa Bay Buccaneers,Tampa Bay Buccaneers,splash,TB,,
americanfootball_nfl,Tennessee Titans,Tennessee Titans,splash,TEN,,
americanfootball_nfl,Washington Commanders,Washington Commanders,splash,WAS,,
